year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
1961,0.751735725,0.4892041,230635.9715,0.343305774,0.260177456,0.21087845,-14.158903,0.0622034,112.3063895,0.51821205,18.2335
1962,0.713096766,0.4992031,210347.9275,0.379657,0.173527923,0.2068896,-13.0558565,0.05817435,114.924049,0.56029685,20.336
1963,0.712598155,0.4863314,200297.1395,0.373388235,0.190613667,0.20351605,-13.602048,0.0546331,114.546598,0.54989925,24.365
1964,0.686364562,0.50658625,197745.7025,0.397462465,0.155720749,0.2202171,-13.0205355,0.06515295,115.0386355,0.5675485,25.1475
1965,0.607825756,0.5048521,192590.198,0.445830653,0.109639449,0.21337455,-12.1029475,0.0582296,117.6115185,0.5791451,26.6705
1966,0.533855656,0.5035686,195723.263,0.472649405,0.107621696,0.2163386,-11.7510585,0.05564505,116.316601,0.58500235,28.06
1967,0.516564568,0.49844525,201815.848,0.452212345,0.103044282,0.19169365,-11.6416575,0.05105005,117.582517,0.55796715,31.207
1968,0.488828213,0.50047985,217330.8715,0.456669245,0.111796512,0.2179106,-12.178926,0.0600978,116.488288,0.5667658,30.9155
1969,0.443721952,0.49049835,243239.2485,0.48958083,0.155996969,0.2086283,-12.083148,0.0561868,116.9565235,0.556460485,32.872
1970,0.452994844,0.509339,242455.391,0.49700465,0.125211852,0.2163628,-11.8689105,0.053003,117.228647,0.57485125,34.439
1971,0.4529077,0.50451935,261744.5995,0.500450855,0.12461931,0.21742735,-12.0631855,0.06172,118.2344645,0.57440365,34.664
1972,0.457332818,0.5208465,248024.293,0.5069524,0.112921811,0.2093138,-11.7722985,0.0548739,119.2493455,0.597264,34.7465
1973,0.412536525,0.5135514,256522.1945,0.53483924,0.104506559,0.20650535,-11.3201835,0.0575813,120.419363,0.5874993,36.6775
1974,0.437783753,0.52052895,255832.2625,0.521901915,0.111008296,0.22111405,-11.746781,0.05933695,119.827762,0.5879766,32.1815
1975,0.415703517,0.523718,255555.734,0.534788445,0.105966498,0.22028765,-11.407781,0.0617354,119.095331,0.5784687,34.662
1976,0.362252849,0.53280355,266387.733,0.555976895,0.119460556,0.2525387,-11.066453,0.0650382,121.1474615,0.58459385,35.874
1977,0.332094207,0.5372937,258175.421,0.564516209,0.125854677,0.2240226,-11.034756,0.0606237,122.0271205,0.58805865,35.743
1978,0.316198631,0.54478325,252205.3435,0.570141965,0.098767662,0.2239043,-10.76404,0.0639651,121.092253,0.59465825,35.7055
1979,0.282255005,0.5618163,251801.05,0.598865365,0.108642484,0.2181085,-10.8373475,0.0687692,122.9454195,0.6112477,35.798
1980,0.282898615,0.5578385,251271.876,0.60089611,0.122710305,0.20805325,-10.604593,0.0601958,122.6640385,0.6033149,35.7065
1981,0.292430356,0.54187025,252524.9085,0.601334018,0.154506944,0.2254533,-11.0375065,0.05825155,123.4056765,0.58329185,35.2655
1982,0.283249098,0.56573035,249905.7285,0.60003644,0.093279367,0.2013609,-10.8133405,0.06617205,121.202016,0.59246755,35.725
1983,0.277094656,0.54803335,251411.6325,0.614877525,0.142536128,0.2018573,-10.992583,0.0687133,121.2740695,0.57606155,35.911
1984,0.271246582,0.5397952,251420.918,0.60113052,0.137412367,0.19596895,-11.3787775,0.0611703,121.9237365,0.566882705,37.168
1985,0.278964298,0.55850035,251831.435,0.61172402,0.108347851,0.1995335,-11.178366,0.0578907,121.9948245,0.57058735,36.5785
1986,0.271672888,0.5447083,253202.991,0.6218376,0.114289106,0.20997095,-10.9862495,0.06586145,120.925895,0.5533414,37.0025
1987,0.301076418,0.54301125,249306.277,0.587712445,0.098808534,0.1996317,-11.5242195,0.0583823,120.406542,0.5424803,39.187
1988,0.302313665,0.54506375,256161.0145,0.59349891,0.108803259,0.21206585,-11.46748,0.06772325,120.481966,0.554020605,38.838
1989,0.300095781,0.55203085,255036.374,0.591701695,0.103721331,0.198774,-11.3089415,0.06488795,120.6101975,0.55836595,38.6295
1990,0.304092532,0.54518535,259626.2145,0.5876502,0.106585423,0.2002561,-11.1057955,0.0678364,120.019514,0.5339336,39.785
1991,0.315968343,0.56122825,244292.828,0.56602222,0.108993929,0.1902512,-10.835189,0.07370745,119.776355,0.5542273,41.21
1992,0.306602951,0.56382585,245248.012,0.589770795,0.094689788,0.2004604,-10.454913,0.0755334,122.566212,0.5645346,42.485
1993,0.291017322,0.5744991,252771.8,0.571926055,0.114979256,0.19882815,-10.773155,0.0781756,119.9397855,0.55845145,42.325
1994,0.288333828,0.5593907,252177.5665,0.59062834,0.107491494,0.1930889,-10.080787,0.07814085,118.4363855,0.53697305,44.3795
1995,0.28495528,0.56496445,249126.044,0.589224815,0.108765109,0.19991025,-9.8609345,0.08232495,119.20807,0.53746685,44.443
1996,0.285922864,0.59172145,248138.9245,0.591787605,0.084890561,0.20051785,-9.2795785,0.0875631,117.331936,0.56428925,44.4005
1997,0.303142846,0.57796695,246396.506,0.601817345,0.107329712,0.20388905,-9.140692,0.0900282,117.7594745,0.54626405,45.1835
1998,0.277977635,0.5928674,248837.2385,0.61484337,0.100513606,0.19614045,-8.8225045,0.0947249,118.535518,0.5454227,45.231
1999,0.263356708,0.5862456,245668.599,0.641978199,0.087613715,0.20873355,-8.166139,0.09936195,119.7589625,0.5578091,46.8325
2000,0.286654303,0.5890394,242958.072,0.62222284,0.09978976,0.20091825,-8.2888615,0.08985415,118.932672,0.55734955,46.3125
2001,0.270392167,0.58593315,241011.54,0.638171686,0.094753797,0.1872397,-8.051444,0.0912574,117.9032015,0.5509531,48.6245
2002,0.275408605,0.57862785,239810.2355,0.65135229,0.081102737,0.19558895,-7.517304,0.0838091,119.5606995,0.5478405,48.202
2003,0.247379432,0.57663275,245057.708,0.66617755,0.080684691,0.19546715,-7.3594095,0.09231585,121.0065355,0.53494295,48.4045
2004,0.264210291,0.5722624,239908.2885,0.66055256,0.069287271,0.2022549,-7.3586795,0.09381965,121.676676,0.53087645,48.974
2005,0.246816743,0.5763006,238882.838,0.659766555,0.08108178,0.189185735,-7.2980135,0.09406585,122.1156545,0.53318355,50.3475
2006,0.266283979,0.56844475,236364.3485,0.657829535,0.073208889,0.18738655,-7.139478,0.08384885,121.813486,0.5208878,50.631
2007,0.241804361,0.56483005,242951.7495,0.6730113,0.071561766,0.19531585,-6.9939475,0.083876,123.4701225,0.51510375,50.7085
2008,0.24111812,0.5834105,239900.875,0.675860892,0.061075723,0.1985907,-6.803835,0.07707565,123.4698405,0.5312543,50.522
2009,0.245269346,0.56685735,238880.798,0.680765665,0.063429006,0.20644795,-6.8395785,0.08704805,123.656818,0.511821869,51.36
2010,0.228712283,0.57781115,243543.9095,0.693696355,0.077970515,0.201977,-6.694271,0.08600675,123.4369655,0.52581128,52.7635
2011,0.239381757,0.55982215,236586.656,0.671269066,0.085690283,0.2040738,-7.1769615,0.0899024,122.3993055,0.479514985,53.184
2012,0.236196586,0.5716951,242556.9375,0.66981134,0.069287541,0.1951285,-6.9997085,0.08370135,122.099837,0.47465727,54.34
2013,0.24196859,0.57887375,239570.8225,0.656467189,0.072768731,0.1995335,-7.1999795,0.0976217,120.7844735,0.4672444,55.6915
2014,0.23761402,0.58957415,231953.446,0.653497022,0.058542843,0.1900837,-6.957376,0.08467125,122.584669,0.464598955,56.9645
2015,0.246800921,0.591007561,224708.8441,0.633498827,0.05826166,0.187513154,-7.134255308,0.095743397,119.6961051,0.443944464,59.54790264
2016,0.280289704,0.599976384,219400.7638,0.592877156,0.074646384,0.180197969,-7.949912646,0.107298222,119.0703438,0.43076903,61.37125444
2017,0.289916291,0.6122864,209343.613,0.586738587,0.098209213,0.19421845,-8.4226975,0.11175245,116.8402775,0.414465275,64.8615
2018,0.271940903,0.66493,200919.119,0.59059117,0.035947921,0.17178135,-7.253666,0.1281401,122.004325,0.44714092,67.276
2019,0.289297545,0.64421535,197733.133,0.578796113,0.07651759,0.1671606,-8.041738,0.1247987,118.868163,0.46585562,69.6555
2020,0.247374037,0.673077449,197114.6623,0.611914191,0.039052253,0.177048178,-7.204023918,0.143504841,121.2287039,0.482755148,63.11104784
